id,log,tgt,both,C,penalty,seed,auc,,平均 / auc,列ラベル,,
b3cef4ed-bb4c-4299-b1e6-c09244813910,0,1,0,6,l1,0,0.856283263,,行ラベル,0,1,総計
0c67213a-77f5-4e51-bfa8-b4bfd0e7c22f,1,0,0,13,l2,0,0.863183366,,0,0.865025301,0.861087059,0.862877169
3a905cf9-b4d9-4e34-a06d-c1f794bc4f46,1,1,0,9,l2,0,0.855840127,,0,0.864378501,0.854756414,0.860102018
6fca3c20-8522-4b30-88ba-a8f3b91e86b2,1,1,1,4,l1,0,0.865947168,,1,0.865672102,0.864252382,0.864798428
d17c7db4-4d34-42ea-82ea-05865c34c141,0,0,1,1,l2,0,0.866021042,,1,0.865676372,0.863892129,0.864464002
9f244182-76e4-4288-8950-69a3de4fb870,0,0,0,15,l1,0,0.864827515,,0,0.864125087,0.855467453,0.858172964
c868e40c-0dd7-458d-a82b-55ade81f09c9,1,0,1,1,l1,0,0.866806706,,1,0.866064194,0.866098591,0.866087495
fb33451e-5125-4147-aed7-6be77f496297,1,0,0,1,l1,0,0.867035207,,総計,0.865490352,0.86337427,0.864114899
98e5ed1a-822d-4d8b-8e47-82a87342a5fc,1,0,1,12,l1,0,0.862084179,,,,,
87118e88-7ed7-4356-9589-614d0df13692,1,1,0,1,l2,0,0.850368928,,,,,
43b3a903-ed2a-44aa-99b8-5b2a77c0e134,0,0,0,19,l1,0,0.864719699,,,,,
e3ccbffb-318d-4627-8394-949fdba1631b,0,0,0,6,l1,0,0.864317494,,,,,
ce8c33d6-90f9-4fe1-a6fc-0f1cb5931293,1,1,1,4,l1,0,0.865947168,,,,,
9a1e0bc5-e84d-4d22-8a2e-ba0c8dded1b0,1,0,0,9,l1,0,0.863670427,,,,,
acedca59-cdbe-4e05-844e-67a161b6d3f4,0,0,0,16,l2,0,0.86318442,,,,,
bec45ee4-f42e-4a19-a4d7-638a9d872684,1,1,1,4,l1,0,0.865947168,,,,,
2e90c74a-6f3d-4749-85e1-fbc85929bc3c,0,0,0,7,l1,0,0.864843377,,,,,
36ad45a5-b48d-4475-acc4-128e5732c6e2,1,0,1,1,l1,0,0.866806706,,,,,
0a9a692e-2542-4a67-93ff-21e426d23d98,1,0,1,3,l1,0,0.867730691,,,,,
c5bf9b5a-7e6a-4ca6-8a9b-5f17370c3793,1,0,1,4,l1,0,0.865947168,,,,,
8d5d34ed-612a-49ef-9a61-cd3273e44701,1,0,1,3,l1,0,0.867730691,,,,,
c3c68e1f-7d95-4463-be6c-b455bb34117d,1,0,1,8,l1,0,0.862932792,,,,,
333ba205-e653-4999-8cf5-483b2f0ccb73,1,0,1,3,l1,0,0.867730691,,,,,
1416aebd-03c6-4a24-97d8-4b7a2526a808,1,0,1,6,l1,0,0.865230386,,,,,
a02ca9b2-21a5-4400-8a5e-a009ec0d24d2,1,0,1,10,l2,0,0.863075716,,,,,
f0404433-a1bb-44b2-b6c7-cae4cd61eace,1,0,1,3,l1,0,0.867730691,,,,,
a915962c-13fb-4cc3-a351-ad259be0911f,1,1,1,11,l1,0,0.862191996,,,,,
dcf00bf8-b94e-41af-bfff-12ab452acb84,1,0,1,17,l1,0,0.862908999,,,,,
8bf6b6dd-08dc-4cd5-968b-2141cc781798,1,1,1,6,l1,0,0.865230386,,,,,
a286d682-3de4-4ec3-b96f-8a927ed9ca21,0,0,1,3,l2,0,0.867154171,,,,,
48196f65-9ad6-4036-911f-69f72ed2a628,1,0,1,14,l1,0,0.862184065,,,,,
5b78364a-bed8-4f26-a109-e3b7128d8732,1,1,1,8,l2,0,0.864220104,,,,,
e7ecdecd-f1a1-4c71-9511-4304848a8a96,1,0,1,5,l1,0,0.865948776,,,,,
70fba47f-4d69-464a-9e40-9286401c3081,1,1,1,2,l2,0,0.868805919,,,,,
faa881cf-d9f7-4736-a1b8-91c02344ceb5,0,1,1,12,l2,0,0.863699877,,,,,
168e12ac-5501-40e9-b53a-d625a3c489f8,1,1,1,2,l2,0,0.868805919,,,,,
74f30e10-4b03-41b9-8bd8-3cd3029cca8c,1,1,1,17,l2,0,0.86285498,,,,,
c1cd68b5-9718-4b20-afbe-ad436ada32a2,0,1,1,20,l2,0,0.861913858,,,,,
efff7ea5-a318-49e9-bd80-167b874c82ac,1,1,1,2,l2,0,0.868805919,,,,,
1bfeb39a-b884-40c4-8b01-17064aab07c5,1,1,1,10,l2,0,0.863075716,,,,,
81451184-7ff4-4b00-8d69-db83e9dc1485,1,1,0,8,l2,0,0.855845951,,,,,
6c31f7c5-afcf-49aa-b5a8-cd152877644f,0,1,1,13,l2,0,0.863289408,,,,,
48ff22f7-46ef-4930-9422-f46c0742f674,1,1,0,5,l2,0,0.857221501,,,,,
4e0d6230-e95d-416a-a507-ae487e363a22,1,1,1,2,l2,0,0.868805919,,,,,
78eb84f2-7827-4e54-8285-ff90582d82e1,0,1,0,7,l2,0,0.854524586,,,,,
9403de87-8527-4ae5-97a9-b0ae36c00977,1,1,1,19,l2,0,0.862957861,,,,,
65e4acff-9c8c-42e3-8803-00d6f1ed72a9,1,1,0,5,l2,0,0.857221501,,,,,
c0fd5adf-f6d3-4755-939b-5c9e14d6d396,0,1,1,2,l2,0,0.867377902,,,,,
528d55cf-633d-4295-8ae7-e0e5a05f0754,1,1,1,1,l2,0,0.867763691,,,,,
8a75c99d-af80-46b0-a1b5-705e87d9c498,1,1,0,9,l2,0,0.855840127,,,,,
765a02cd-43b5-421c-aae5-d792a744a4a2,1,1,1,11,l2,0,0.862863077,,,,,
9cfdba57-655c-45fb-9816-9bdf8ecc5708,0,1,1,15,l2,0,0.862439908,,,,,
d3443e1f-1928-4d57-98b4-ef569ca70ddb,1,1,1,13,l2,0,0.86286696,,,,,
d4795f98-e6c0-4e70-bc5f-4aa5b4871a25,1,1,0,7,l2,0,0.8569021,,,,,
c412053b-9359-4b97-8535-5ed7e9592c7e,1,1,1,9,l2,0,0.863594001,,,,,
935a3d9a-8154-4a1c-829f-2ffaaa255371,0,1,0,2,l2,0,0.851947079,,,,,
09492f0a-0261-43e1-8b08-ea21d9a9cf9d,1,1,1,4,l2,0,0.867650605,,,,,
5a0e89f9-39f1-4d9b-adab-47936d972621,1,1,1,1,l2,0,0.867763691,,,,,
fb5a3df0-d7a7-4aa8-8c97-dbbc5f4313c0,1,1,1,19,l2,0,0.862957861,,,,,
e968b64f-c53d-4344-9dd6-0d13b07a2d55,1,1,1,10,l2,0,0.863075716,,,,,
26bab102-ef70-497a-868f-331954497fc7,0,1,1,5,l2,0,0.867572959,,,,,
a06aa6f3-5348-4091-a806-e5bbc2382a92,1,1,0,12,l2,0,0.855826373,,,,,
69930144-16b5-415b-a6d7-e3b4e4c6a4fe,1,1,1,6,l2,0,0.865455725,,,,,
8ddbb769-1180-4b6b-a90e-2557bd47031a,1,1,1,7,l2,0,0.864624749,,,,,
3439c935-c218-4542-ae1b-689c1c2c13c7,0,1,1,14,l2,0,0.863184586,,,,,
6c2def3f-e8b0-43df-ab92-3914f5b9a615,1,1,1,2,l2,0,0.868805919,,,,,
0f9f4cbb-4305-4c3e-b39c-82bb9b057c30,1,1,1,4,l2,0,0.867650605,,,,,
1b5599ce-a67b-4ba2-9f4f-b262a60133a5,1,1,1,3,l2,0,0.867535024,,,,,
26bb0867-de21-44ea-a629-3f3c11d6f64d,1,1,1,2,l2,0,0.868805919,,,,,
4d930305-b9aa-4e29-8644-911ab6a61e4f,1,1,1,1,l2,0,0.867763691,,,,,
7f275275-5748-496c-ac49-993db470598b,1,1,1,4,l2,0,0.867650605,,,,,
7c1365a4-5aec-41d7-860d-8859fcf5db32,1,1,1,6,l2,0,0.865455725,,,,,
867c0c58-0bb7-4185-9521-1659f6043d49,1,1,1,3,l2,0,0.867535024,,,,,
5b83713b-c305-4102-8431-efa5e5dcf78e,1,0,1,2,l2,0,0.868805919,,,,,
2b62495d-7b68-4712-a5a9-3323c0c1df96,1,0,1,1,l2,0,0.867763691,,,,,
e6004171-6ad3-4bc3-8e8e-dcb7c7b00167,1,0,1,5,l2,0,0.865645791,,,,,
b57d5faf-17be-4099-b128-f785b2bac9fb,1,1,0,8,l1,0,0.85538296,,,,,
51956288-bbca-41ef-8f6f-1d6eb8fe9964,1,1,1,3,l2,0,0.867535024,,,,,
3dca6fb9-5f15-4971-bd38-edb083fa38f4,0,0,1,6,l2,0,0.865474249,,,,,
e4501209-2cbf-4966-8bc2-64677ca48dd1,1,1,1,1,l1,0,0.866806706,,,,,
365f04d7-27e8-4dbd-b50f-4ac6f53ced19,1,1,0,2,l2,0,0.85429359,,,,,
f413190c-c7d4-41d4-a593-97b6e503e8c3,1,1,1,4,l2,0,0.867650605,,,,,
4f736fd8-9d5b-47f2-92ae-42c0336c685a,0,1,1,7,l2,0,0.864540559,,,,,
7aa64c63-5e4f-4932-aa6f-e9b470af8d00,1,1,1,5,l1,0,0.865948776,,,,,
034fd04e-9c2d-4ad3-8378-b3faa4e21d90,1,0,0,9,l2,0,0.863386465,,,,,
3e9ee202-0fe1-4d94-9d2d-9f52974cb306,1,1,1,3,l2,0,0.867535024,,,,,
679daf21-6793-4a2d-9acf-006a346edcfe,1,1,1,4,l2,0,0.867650605,,,,,
4b874040-c0ca-46e4-8f76-daeeeb773290,0,1,0,17,l1,0,0.856270729,,,,,
c3d7ded7-419c-4e39-b7e1-a4da876b3ef4,1,0,1,2,l2,0,0.868805919,,,,,
ee6121c1-2ddd-48dc-ac81-ee92bf6436d5,1,0,1,1,l2,0,0.867763691,,,,,
73d0bb23-a777-42ba-be3c-c4f823cc71f9,0,0,1,18,l2,0,0.862333145,,,,,
c1161ff5-aef2-4f39-94f9-8809e76426ba,1,0,1,4,l2,0,0.867650605,,,,,
bfdd1b49-36c1-4435-8711-baf3c13df351,1,0,0,11,l1,0,0.863349972,,,,,
725dd5ec-caa2-41cd-98fd-8f3bcc371fd2,1,1,1,8,l2,0,0.864220104,,,,,
340773ea-aa7b-4281-8222-30f635ed9e19,1,1,1,7,l2,0,0.864624749,,,,,
ed56382a-e6bc-489e-a9cb-d3a0e554b783,1,1,1,6,l2,0,0.865455725,,,,,
3fd5b3a3-063a-475e-9694-3c2c9934a3de,0,0,1,2,l2,0,0.867377902,,,,,
2d217601-49f0-498a-a1e7-d269b042c730,1,1,0,5,l1,0,0.855398822,,,,,
e6250896-f498-4fbd-a9c4-e3f3f0bcd493,1,1,1,3,l2,0,0.867535024,,,,,
570663e3-c2ff-4689-a046-3f6404934803,1,1,1,1,l2,0,0.867763691,,,,,
